MYC,BCL2,BCL6
5.297573438,5.768571534,4.978618889
5.656693754,6.223204243,7.566005566
5.538195662,6.473664882,5.292060777
4.780127788,4.812754813,5.464830953
4.971730816,6.656030208,5.777992088
6.316634365,6.088386678,5.611862606
5.485484932,5.488299079,6.197868642
5.979715636,5.18857633,7.146591173
5.502755119,6.413830133,4.918512914
4.318472323,8.504570563,6.570924895
6.609834823,6.948403425,4.518412664
5.837163096,6.003662937,6.878765526
4.807485128,4.463335412,4.684527027
6.211242988,4.763610869,7.930871471
4.485916986,6.190236646,4.435311452
5.85960491,5.145322627,5.055676234
6.125433658,4.868816518,5.150458413
5.4437328,7.501701647,4.657122058
7.755529927,8.446835307,4.724616396
6.087062695,5.278660965,4.96265917
6.187879554,5.194104783,5.501238462
6.70415264,7.387074345,4.190944082
5.790467403,5.761088783,6.209968603
5.145882815,6.80377394,6.510000416
5.118314064,8.935588879,7.162140578
5.642581544,7.100925506,5.133249404
5.801092875,4.454400481,7.208880772
5.655002536,5.612420071,5.991926434
4.60262203,8.636954141,6.511194648
5.42472845,4.740797496,5.952903485
5.357475433,4.027713114,6.309068592
5.223011859,8.568883569,6.973077908
5.732148818,7.364418936,5.890602683
6.45727134,7.818040754,6.393434918
5.638910966,8.058444099,6.524500321
5.700273348,6.690122163,6.536082721
6.807763585,4.80809232,6.040811665
5.421928212,5.311764502,6.043258871
7.009842495,3.662559625,5.578131735
5.812576113,6.745592728,7.47813387
6.13389027,4.309673537,7.127567968
8.560953951,7.607004306,4.019559546
6.170544294,7.745781713,6.887608848
4.743499276,6.651681293,6.554312083
5.935325133,5.208302559,6.607388005
5.519291997,5.647225959,7.327388853
6.458284387,5.659337361,6.864121478
5.15479956,7.030804177,4.31963449
5.428512304,4.331523358,5.064989256
5.014999953,5.844525707,6.694680218
5.297914162,5.100823959,6.329892835
6.474581688,6.161425783,4.852994307
4.779743839,4.535980484,5.847490964
5.93651215,6.894877372,4.028294973
2.677518188,8.008179808,3.751448616
5.945870519,6.417636811,6.464827801
6.074823277,3.920622853,6.252933632
6.569989561,6.51857186,5.376737608
6.14930213,5.871054974,6.418317814
4.707633211,6.189472748,5.924227612
4.972853877,5.58587803,6.483452999
6.480741576,3.598241808,4.617296638
5.110818153,4.804297663,5.453430814
5.240389541,4.61666236,6.153620459
5.099617764,4.77318388,4.825950291
7.47132467,6.417866656,6.226204276
6.647889477,8.38687951,6.057090666
5.054915027,7.453201133,6.424986857
4.967007535,6.142852758,5.025484526
6.898561836,6.788730408,5.202271604
5.845334391,9.339565459,4.397138234
6.208465481,5.676119656,6.145255392
6.379714804,6.185875688,6.391765205
6.832196371,5.267404113,6.228705179
4.47991152,8.560910079,6.034891772
5.095456436,5.335329398,6.423978861
7.10869084,8.314640994,6.157407509
5.927929472,5.973418302,4.936535362
6.362027706,4.781254749,6.78218011
5.724216563,5.936540604,5.017514606
4.201346179,5.17150825,6.402951794
6.034486331,6.96168894,5.46196287
6.246237229,6.878910392,5.800100848
4.642611115,5.531256963,7.172836744
9.00422652,8.479808946,6.435595946
5.996662994,7.795775449,5.588278106
5.996666052,4.081595276,6.641970761
5.465875359,6.765076302,4.534006599
4.896645821,4.748494948,6.977038226
5.348560847,6.723629156,4.890532903
5.05788676,7.123781447,8.002973444
6.803141552,5.962916891,5.234904395
4.66826492,4.562603514,6.219009386
6.556477307,6.468849474,6.335620693
6.25724978,7.224436878,7.062898932
5.912625508,9.294248189,6.540948607
6.580434997,6.511423399,5.766890123
7.232928967,7.561605327,4.962893427
6.339063514,8.230620758,5.537365166
7.130802901,7.583281836,4.187488545
5.446777039,5.773842523,6.446936308
6.744289617,8.897882901,5.69139627
5.323060672,5.617994263,5.021767459
5.298440553,5.616021974,5.279930361
6.614993883,4.875216744,6.036771481
5.79758761,6.759382087,7.714809257
6.386036334,6.525094185,5.966832105
5.86726958,5.0885401,6.004125371
6.432159512,7.238795921,5.734115962
6.564466235,6.197772858,6.791690397
5.76796614,6.857711536,6.277511412
5.727892293,6.404859239,6.262910694
5.834736437,8.171463303,6.96288504
6.433479164,5.959790672,6.464004094
7.115775587,7.866903454,4.478081013
4.901039,4.940237624,5.304365151
7.637030896,7.157217972,5.339969099
6.481640964,6.449237801,6.200923348
5.229703249,7.681604415,5.287102254
4.496645013,8.514198582,7.613142636
7.582730959,7.998383443,5.201369836
6.476182759,7.72832134,5.837613766
5.352188773,3.753591226,6.936003841
7.188148256,7.444448259,5.217125888
6.022970614,6.611552302,5.370387991
6.774445399,7.179738688,4.689360446
6.241134289,7.905461212,6.868767183
7.236893215,7.6427728,5.186301466
7.136466835,7.417536359,5.162478112
6.300169161,5.967156744,5.457864549
4.849148831,6.901052965,5.979397367
6.930675869,7.099442302,5.093279773
7.203341998,6.931776129,5.921797262
6.788724539,6.746949329,5.375930735
6.7501797,7.758155759,6.069158316
6.64563053,4.185241078,7.446630224
5.319953836,7.874250272,6.990872774
5.79810154,4.709018892,6.441388375
7.260521648,6.724715775,0
7.764963197,5.55112031,4.33023995
8.454732806,7.245973529,4.063654927
5.432243389,4.573792161,5.441643147
5.870134515,6.793683264,3.095764141
8.50405053,7.366525612,3.264654998
6.292162794,2.706893184,4.32889462
5.621166308,7.336228764,6.258389211
5.651024423,7.836112247,5.654728802
5.646268136,8.252318683,6.40017661
4.887241827,6.578111433,5.339777708
6.283647552,3.577116259,6.562880964
5.439584396,5.758431641,5.991218715
4.709156182,7.542872943,6.3856583
8.577305052,8.666670692,6.13993377
5.381162631,8.051631106,5.368803241
4.633813909,6.603904526,5.81178998
6.624343057,6.02963739,6.417636811
5.057266175,4.991167157,6.759627462
5.626305243,4.597314259,5.492314092
7.073863162,7.710412511,5.19257845
5.398694851,5.344674993,6.302393972
6.866014047,6.425214686,5.452378734
5.959581396,6.334057955,8.917440623
6.139322654,8.204169765,5.637580504
6.70494903,5.61140408,3.584833389
5.08612231,4.839447928,4.25057547
5.58553978,7.314535206,5.752079296
5.540543259,8.438883385,6.208889504
5.400589672,5.248490752,6.510294208
5.958042958,8.171837458,6.724342321
5.477335031,5.265398224,5.28017424
6.506843856,7.965939472,8.315262339
5.040199573,6.380818312,4.958848738
5.793958687,5.373628471,6.11702684
5.157270774,6.476202331,4.842745773
4.729304036,8.617471784,6.830651205
6.990243883,6.031718553,5.618731316
5.694927492,6.342649115,6.78662624
6.574191531,8.029760208,7.646215352
5.680448276,7.868898475,6.235018488
5.60584879,6.996836908,5.94491579
5.342315278,4.66319482,6.107387872
4.59709866,7.557974645,5.572900504
6.425878499,5.635815417,3.400614231
4.504201879,7.733592878,6.249826069
5.574644912,6.871239285,5.737020368
5.387560662,5.363716793,5.251171769
5.593169389,4.120625669,5.413930954
3.531103151,5.373437149,6.820622757
5.793758351,4.740671393,6.601076341
7.081742409,6.998474422,6.676447764
3.868682667,4.002564059,5.596345448
5.14357983,8.183783491,6.643034974
6.812795369,4.646010699,5.440124291
6.30053075,6.63847323,6.99279782
5.324016832,5.78401972,7.544105242
5.830040518,8.444017424,6.23846577
5.529227754,4.59624809,3.754483611
8.387428363,7.637443605,2.91941996
3.923383916,8.798851487,5.593414488
5.114765506,8.170433214,7.008611536
5.253792538,6.785283572,6.154830001
5.472792261,5.913889183,5.518939941
5.712324043,6.250438162,6.56378192
6.119872323,7.298463304,4.974706505
4.991718452,7.291272957,4.324245624
8.124372568,8.143118799,6.064247521
4.920971181,6.323148419,5.686438579
5.925919314,9.376025533,6.164490736
6.090221262,6.575426297,5.824635607
5.808597903,7.726551583,3.45878526
7.678958664,8.372558559,4.953247311
6.425567567,3.122942289,7.892314988
6.15987736,7.428433532,6.424251954
4.372773759,7.936665195,7.117318616
6.018098992,7.947497924,6.034410682
5.349874261,7.808547243,5.465381256
4.622022844,5.764240851,5.348589089
5.696597082,8.504937222,4.24019292
6.468674482,7.596549607,6.899457135
4.63993413,8.438979666,6.124012457
4.176407371,8.788527919,6.724417991
5.787548445,5.129769596,4.460761428
5.731226437,7.261429523,5.90461966
6.49198536,7.967074668,6.528187882
6.131795928,6.670479742,4.181552069
6.382454692,3.739127113,6.393151036
5.817279946,5.361101818,6.027880358
6.657027156,9.125215852,4.583524504
6.353503247,9.235701013,8.15306385
6.143240957,5.984664438,6.412801728
3.034875792,3.521561515,6.028550767
4.601502411,6.864587234,4.914108593
5.234987203,6.188521704,5.554918326
4.190000886,7.772178565,6.756714656
6.52341727,6.535993057,5.764091295
6.284472025,6.968939986,7.387257041
4.506826248,6.454711795,3.095321671
5.771272252,7.623881412,5.724419992
4.95586561,8.011063138,6.096988264
6.835596029,6.865990882,5.200835502
5.926999636,7.843863692,5.486382576
2.001534673,8.095509061,5.13856535
4.980275874,7.729898441,4.525048574
6.46620618,6.421010851,4.421498087
5.654476265,5.779286118,5.911827576
5.867875735,8.665757354,3.722113263
5.780849029,5.359003287,6.702582318
4.303598034,2.856624909,7.986658368
4.087668512,7.079414938,7.145926472
5.304003817,4.904285074,6.539369825
5.793605097,6.030296522,3.845080428
5.85572667,7.95691948,5.340359281
4.779140439,5.931078329,4.529576964
5.136562689,3.68114409,6.71736816
4.661480733,9.993228807,6.38050612
3.865248742,5.03500406,6.206518039
5.879841362,5.393129825,5.393803416
6.829422008,5.861490332,6.14836903
5.086005425,3.183956263,7.01197858
5.364522508,4.525510097,6.118398762
6.990950473,4.510595972,6.209826234
6.223497597,7.526866102,7.113316063
5.999699315,5.363806279,5.36597921
4.922249815,5.629825611,5.905773569
5.403867801,6.602352353,4.622114478
8.012253632,5.571854838,3.056526872
6.560332795,4.181761662,6.101585589
6.100225126,4.970631106,5.703067441
6.965649019,8.138507056,3.041808829
5.017955488,4.896797112,5.312526479
5.456501724,5.959293822,5.265487449
4.583529536,5.088254735,5.54793818
5.145051187,5.369520609,4.958179161
5.884672618,6.454301863,4.585462555
5.45271555,5.324573763,5.037018853
5.584850289,5.571427463,6.280664182
5.597549673,6.556743841,4.739990223
5.293610899,3.563819926,5.236018771
5.531970452,5.787233949,7.217508125
5.166587866,6.180339474,5.410029956
5.402409487,5.463949614,5.418733017
5.043925443,4.151587255,5.563352425
5.805971597,6.812946313,4.973878931
7.052901023,5.025279721,6.118783006
4.748842606,5.148806452,6.631928438
5.810276338,3.552054639,7.705189561
5.228297011,4.226815669,6.324028176
6.433123272,6.557333337,5.127532559
5.367050762,5.527005963,5.241228923
4.955906924,4.154970378,6.931089242
6.213130401,4.116777024,6.069046497
6.520851772,4.585187989,7.506536138
5.711305674,7.61962646,7.455331332
4.722859839,5.698609023,5.287260179
6.526012226,7.468150897,5.38277156
5.556471255,4.409753898,6.108753148
6.928532497,4.102145755,6.53345344
4.795151871,6.197398781,5.976693752
5.617310038,6.318739337,6.651566298
6.112087664,7.068883534,5.015461387
6.26572747,6.212325529,7.031829515
5.548527636,5.574464745,5.973899121
5.314095484,4.439572528,6.569779622
6.369114119,4.299774399,5.289311397
4.498978238,5.908405363,5.771381252
5.268836976,4.811656398,6.390054252
4.766588446,5.1343737,6.398796664
6.544000599,6.961836113,7.139240777
5.50992067,6.412553092,5.119548704
6.773728456,6.274360359,5.91477787
5.490125476,5.980867387,7.341969205
4.329461434,5.284830143,7.568367277
4.678307763,6.313726736,5.547838284
6.420461421,8.989855648,4.815506
5.341112853,8.056404402,4.959546854
6.455711153,7.698803921,6.66223518
4.010234514,4.935130307,6.403175571
4.620105231,6.874283971,7.261266484
5.101212892,4.783610473,6.390128262
6.901128413,4.694660664,7.061418314
6.250582855,3.03203663,8.29295721
5.189431778,8.50199775,7.149265517
5.723665763,5.982964458,5.669745073
6.245965509,6.251179376,5.127093301
5.580730092,5.480926396,6.641517191
3.353794587,6.78203714,4.985646703
5.344579374,10.56370726,4.931191554
5.916534698,4.321698792,5.20254571
5.387288515,6.375877223,7.420002773
5.863474306,4.606946748,7.396709425
5.707118105,6.27011278,6.706333608
5.423801073,7.430045714,2.139974394
5.252492767,4.903505293,6.234021753
6.807374171,7.06902521,6.916005614
5.194280896,5.438216047,6.080869179
6.436767701,5.429103911,6.734420135
5.750405351,5.823702795,6.350332279
5.916658043,6.237886657,5.028426177
5.421881994,3.922962249,6.015000265
6.527619494,8.217485783,6.286188918
4.638743067,8.679252078,6.583094737
7.906030005,4.198284944,6.05197522
4.47737101,5.814773826,6.419082533
4.235501785,5.297958701,5.486343028
6.121609286,4.541339598,6.811270118
8.538307105,5.427161704,3.178058111
6.843672469,6.103066216,6.415929607
6.113147164,6.009828753,7.194907914
5.073731129,9.725949195,8.230709235
5.95733951,3.131164583,6.564652246
5.865780362,3.912725811,6.180419836
5.509296737,5.244476891,6.134093334
5.117691717,6.108222797,6.696924346
5.263626547,4.254989551,6.321462049
5.056752939,6.727110575,5.061180384
7.916999555,4.345601062,6.623609034
5.095206957,6.308976156,5.402894538
4.22687503,6.726007242,5.00490301
4.036273066,5.389015849,4.732795314
4.262953264,4.336208896,7.951183576
4.636233581,6.130024675,6.025882911
6.8492291,6.573583739,5.747273877
5.474522202,6.864072453,5.671562321
4.731570004,4.526166563,7.047719695
4.445362692,9.506409326,6.492212187
5.334481693,8.016609273,5.986596834
3.856883588,8.286412106,6.555211634
4.821388177,7.182766963,5.24280996
5.248147716,4.274268759,6.657645737
5.744218317,5.782793288,7.411291562
5.973463974,8.212176001,4.558539254
6.682818898,8.538162004,8.907687975
5.807454512,8.146316955,3.528008078
4.365046051,6.046084053,6.084281
5.408752087,7.123502276,6.394083643
5.762509438,7.512585201,7.982395262
4.61338039,5.991746182,6.451379598
5.362825995,7.892152654,6.196389227
6.291312432,8.488777065,6.310382208
5.854233554,4.747498589,6.451266705
4.372602611,6.134093334,6.919906359
5.628379784,6.685221359,5.088077277
5.92494059,6.602567848,4.670576804
5.048935053,4.681278517,7.39687352
4.489544362,6.440331436,6.624089457
5.92494059,6.50157815,6.176228607
4.803190993,6.143559383,6.126414006
5.431035416,5.610389169,6.675072974
5.202717312,5.94537663,6.280511203
5.743759018,6.122557797,6.593164347
4.724616725,4.511387227,6.666116714
5.148806452,8.588431947,5.648932217
5.132687761,5.997442621,6.602711458
4.563094603,5.798824119,5.029839011
3.943447374,6.565508758,4.311411516
4.180878374,5.799749421,4.944529697
5.05079655,6.567964201,6.306636442
6.225311597,7.670727067,6.761771323
4.706081652,6.969463023,4.895282292
5.374700823,6.842139364,4.194878799
2.881954294,4.86760866,5.47876252
4.422783833,5.162781268,6.141515813
5.612777907,5.4525766,4.062571066
5.987290384,3.777255706,5.00178065
4.671584353,6.227920823,5.689536046
5.393525387,6.791217604,4.897155272
5.023280653,6.319341167,6.965512544
4.010040313,5.222357007,5.92381005
5.498067624,5.374420197,6.50157815
5.461889854,7.77927087,5.03237535
4.485624506,5.429262333,4.403432073
7.769678136,8.204035138,5.754235624
5.466156786,3.380686861,5.119613218
6.159208081,6.735255101,5.358821702
7.686091683,8.887862661,6.506233373
5.521125163,5.116925124,6.001832072
5.016175885,5.962916891,4.703044915
5.215255828,7.013069392,5.33765381
5.848550243,7.471405705,5.840587633
4.775512281,6.284181889,5.911095762
4.32821609,8.565991929,7.592705909
5.206099511,6.837384882,6.476703775
5.473057835,5.390850934,5.613244764
7.261103397,4.965627844,6.391696388
5.511605545,7.571515252,6.844962239
6.078848111,6.343158459,5.706824117
6.458710285,7.358243018,6.087502887
4.090888713,5.512122988,5.406729058
3.308291193,5.694655094,4.755177578
4.546311069,4.528432943,4.278261669
4.843002577,3.328648158,6.375341618
5.126124676,4.293857723,5.144410143
7.312042688,7.613062893,4.822126808
4.575163569,6.053456558,6.642671406
5.612589487,5.679331824,6.280956785
5.883827325,5.947605082,4.050431142
5.560877652,7.65992174,5.719037195
6.792164507,6.099633052,3.981779909
3.193403619,3.802796074,4.735347693
5.43476864,4.940856216,7.657520682
4.69123967,4.932853844,6.67438812
4.268092733,4.779508682,4.760850962
5.125167645,5.362567463,7.144853637
4.733859968,5.021369795,6.324643797
6.02163601,7.815447873,4.734727366
5.777485385,7.887514827,5.29852832
5.056097303,4.071275554,4.853461807
4.953576665,4.411736836,5.79878928
8.599502479,7.786027825,3.696553934
5.738988912,4.624342744,6.633348905
3.61306942,7.511613492,7.162803304
5.347843966,5.560030159,6.758176969
5.960154114,5.244822645,6.882412262
5.790854212,8.082079006,6.530547944
5.905706302,5.840403753,6.760444551
4.670673638,7.596222059,6.870975913
7.171557998,7.515523539,2.79318517
3.852057271,5.711855937,5.662976065
4.419122711,5.863450674,5.84225979
3.884146244,4.113144614,7.118312743
8.121372745,4.928157086,6.128775343
5.49082538,3.446639044,5.998521843
6.34176667,6.617375367,5.974498083
5.592707424,4.050268729,5.759477069
5.370000458,5.435566257,6.996814859
5.145803377,4.171644861,6.717610958
5.313572291,5.535831526,5.514071333
4.490145985,6.851930135,6.307750163
5.295717951,7.188375387,5.429612057
3.96015607,6.324595295,6.218203964
5.287867939,7.042500574,7.05842495
5.636079926,7.857256982,7.914784216
6.172551328,7.09795224,4.643677553
6.155528432,9.581618611,6.453941789
5.017910197,7.285477789,5.779339484
5.906519405,5.888404847,5.029678306
6.815436941,5.527948901,5.432679806
5.368177326,7.249924394,6.197470499
5.675608901,8.785275679,6.454256975
6.654908448,3.23293937,6.747636178
5.873218547,8.56081355,7.638762188
4.85559958,7.226802363,3.455655874
5.982727773,3.148950469,8.990053583
6.569922693,6.176865853,5.885870071
6.325643489,5.891175062,5.848389138
4.899639041,9.743255431,6.480308136
5.48992212,5.524707948,6.274467829
5.852686961,8.099424125,5.907697399
4.356652908,5.698691644,6.041579505
6.679384546,9.453933837,7.593833881
4.002668755,4.777535332,6.058074829
5.567714584,6.000371946,6.88382026
6.911359852,6.640138873,5.871285415
5.987417063,6.095210569,6.337527476
5.727327685,5.892569412,5.640238363
4.409810409,4.950228183,7.189728156
5.864150823,6.315885998,5.140919806
8.237238291,8.963752507,7.320185954
5.21995477,6.965137599,5.075772701
5.531559333,8.158303236,6.207993107
6.650468532,7.429933575,5.155955659
7.010199115,3.975639725,7.043776117
5.884681897,10.32130172,4.749210321
5.985157897,6.741731341,5.565540298
5.065447136,4.8498739,4.382588089
4.537249047,6.610040691,6.335380161
4.656810356,2.479741476,5.339214891
4.560203171,5.368783068,4.804481824
5.01502359,5.392021266,6.017350645
4.549974684,7.78930193,6.576929866
5.118099782,5.464606002,6.247539642
6.316087006,5.244198479,6.010094741
5.608819395,8.567143371,5.169428006
4.005761564,7.172986006,6.793378804
4.972046399,9.051835689,6.526416058
5.218348408,7.276808204,5.685455032
4.777141748,6.519377679,7.710150647
3.791333749,7.225002445,5.6409679
7.160262814,6.727374522,4.98782553
5.849006383,7.213658208,5.951848406
6.152989488,6.342646786,6.431636878
7.771762611,10.21780855,5.843681453
4.439539619,4.945743932,7.779102279
5.887253014,5.222403902,4.36826604
5.503864669,4.997848635,6.802880118
5.93177248,6.687887005,4.734547529
6.994339262,6.244974055,6.710016824
5.297654489,6.754734713,8.319558739
7.113079144,8.021889997,8.214613883
6.38132666,7.821692859,5.273679382
3.136603398,5.100646036,6.881302095
5.946164635,6.141776757,6.783419933
5.285835014,8.770528232,3.338058201
6.271563986,7.929649666,7.057369604
4.641757205,8.512198301,7.475733016
4.795928776,4.16860675,5.985676917
5.508197263,5.701724464,7.178277757
4.788154706,6.150041161,5.694351771
4.917416501,8.641378682,7.045050945
4.404352297,7.243828602,6.661822575
5.018732461,7.318279137,6.283168552
5.879046719,6.285279345,6.03365181
5.0211112,5.519517631,4.948788736
5.29034757,4.865938078,6.424641633
7.919217368,7.604149537,6.744441537
4.991231497,4.694858088,6.163850115
5.742537772,5.703910977,5.607211013
4.55287464,8.366657123,7.124427074
7.106565707,6.788389989,6.637181263
5.881022113,7.596132986,2.765465892
6.253954993,5.561371675,5.351644302
6.019933832,6.797597058,6.275140714
5.801090895,6.156615119,7.052433188
3.306518773,5.697169496,4.548956097
4.075084867,4.498642524,6.099321996
4.877428821,7.363322407,6.434845214
4.815370718,7.956494211,4.063549147
6.073039522,4.132252342,7.084561716
5.611149154,7.279903813,4.669996838
7.442775211,5.243873022,4.992784669
5.458038108,3.655402375,6.712437646
4.101077907,5.030026096,6.232555483
6.020021077,7.720815342,4.959691453
5.390652653,2.927132444,8.721645379
5.17626725,7.248118651,5.655200705
5.407572459,6.035144402,6.713348847
7.921496425,8.688859712,6.706132755
5.172146837,8.215398544,6.87449401
7.966127789,3.98498028,5.68948079
6.249354794,6.509187714,6.279481786
6.463455322,7.48361417,6.911793362
5.073719324,6.063740519,5.201402286
7.229504306,6.578120307,5.543530218
5.574657742,5.141598023,5.6740655
4.658422483,6.972999487,5.06646467
4.179581581,4.405113781,6.798446043
4.456191047,4.639519454,7.605251171
5.915257575,5.599976804,5.20412453
4.748752314,6.10229018,5.146592737
5.250554621,6.526358001,4.985039548
5.526181498,7.361440019,5.743334928
4.803618836,5.735372674,4.930884432
5.923388181,4.905415635,6.293368901
4.958947253,6.359615153,7.105477976
7.129594155,6.557031566,6.442209578
6.777286309,6.766486147,6.003132453
5.662128612,5.750173285,6.956819137
5.166130808,5.86687295,6.530460166
6.068897804,3.376062009,6.763909494
7.195767892,7.400927465,4.716909714
5.138474309,7.287282114,7.21120004
4.907213453,4.802621331,6.229705607
5.240132313,3.913917374,7.58416036
6.285282246,6.531120795,7.793706392
5.721815374,6.052048222,5.341461255
5.950800103,3.757481555,7.832099262
4.824533917,5.039324259,5.808
6.044316159,3.741634458,7.311638664
5.986223803,2.87742859,7.33048828
6.047285384,6.103213791,7.280141775
4.996259344,5.727571382,5.29660526
6.658215696,5.916557084,5.893216736
6.848995543,6.792842803,6.294735021
5.478656677,8.064662467,4.54669228
5.454279053,5.3371799,5.558266676
4.961409675,4.024888565,5.936832942
5.848532879,8.560234075,7.801312791
4.807344865,3.996103511,6.992900649
6.797281763,7.584653115,7.451987967
5.353942476,4.215904952,5.595436655
7.981255645,7.671629426,6.698732711
4.459607455,4.916635095,4.791902947
4.356037434,4.435015403,7.212626198
6.618367667,7.061116868,6.390956934
4.931700529,7.645200374,7.076125908
5.318172612,7.544586056,5.354317645
5.504121214,7.218851902,4.747864373
5.459958502,5.310123618,5.830201825
5.004901917,3.852884878,6.135057652
6.140108914,3.609039759,5.993683676
6.498936942,8.228848413,8.14481398
6.438640227,7.801967206,7.374758707
4.646801067,7.743296991,6.098365123
5.309317585,5.394959807,6.765892404
5.486437287,4.49499595,5.584225703
4.753075906,5.665665454,5.752163716
3.64508377,8.686498157,5.024812333
5.317194346,5.38473069,6.419069809
5.617885712,8.709973658,6.880242992
5.001946143,6.308163993,5.605382438
4.959487818,6.387197169,5.695908282
6.097007173,4.750706785,6.430411792
5.233764515,5.447210766,5.277316743
5.65152999,6.736870239,6.044184736
6.813944253,4.075588056,6.526319515
6.218571151,7.026432277,5.719864872
6.3393142,7.128401756,5.89393805
4.637038661,5.342683785,4.787296203
4.173748092,6.901909511,5.715903598
5.720280514,5.451821808,5.175837481
5.663548192,6.684751401,4.971950322
6.175056358,5.049779862,5.429682348
6.04453918,7.817561906,5.516183148
5.278137099,5.194872409,4.690042805
4.964226658,5.526415204,5.369534857
6.130815025,6.743090918,4.697847934
6.079961811,3.163941848,6.460808665
5.056269997,4.571220179,5.915997574
6.375719149,4.858210748,7.067589899
5.499871704,6.085997945,5.387550052
6.436175301,3.853767182,4.579777969
4.860832626,6.295268303,5.628094031
4.297286872,4.168409766,7.135247915
4.991244031,5.567486541,6.487339637
4.852028714,5.624464371,5.686178059
4.945700054,4.82555363,5.98196575
6.830942604,4.098968856,5.375105329
6.554272189,6.733829391,6.387664474
6.602050567,5.980615145,6.387698549
4.86145292,7.251705887,5.591602849
4.152388164,4.595376218,3.757218079
5.159431775,6.857256891,6.018816072
4.922994821,7.450954082,6.942620487
6.049067884,6.734468431,7.062485092
5.010843793,6.364730435,6.195249132
5.431801045,6.019414487,4.648462215
5.649854336,4.522726606,5.773062482
6.232795884,5.719002686,7.19936803
6.453181018,6.096134753,5.835505622
5.736465738,4.955311874,7.519654861
6.694535717,4.76288553,4.380883793
5.501974521,4.871416225,5.279688328
5.909842718,5.741969996,5.297080844
5.742378238,6.348131508,3.852092185
4.824548005,4.913511439,5.05803198
4.564984293,8.914963765,6.789591866
5.333305209,7.447336025,7.391397257
5.155587129,5.729768027,6.23646412
6.218259865,7.115970459,5.562102762
5.368691851,6.158753751,6.161160813
4.392370092,8.625501086,7.187121309
6.655557702,6.279852586,5.114636208
6.66850538,6.567551476,6.250338795
4.920471398,6.625086871,6.136725314
5.579874591,6.5541515,6.726071021
6.334464973,5.931237835,6.625358755
5.125493724,3.138489907,6.875560579
6.978910968,8.470948461,7.301121054
4.926458925,4.360188895,6.356357511
5.957935396,4.586951011,5.451813535
5.256118206,3.835659073,5.063824329
4.077903391,6.689873831,6.636871386
5.04732904,7.130577941,6.423443495
6.301002233,6.793693961,5.40458957
5.057334023,6.065383969,6.650251858
5.146945185,8.668948029,6.176228607
4.100454561,3.633878801,6.288947836
7.55638242,7.21067598,5.698241512
5.398967504,4.880190192,6.365180646
4.784784466,6.195489008,6.431019415
4.858109848,6.126414006,4.713416228
4.615805238,6.573212012,5.41527383
4.873399648,5.883116906,5.360922215
4.399866842,6.021777717,5.338642901
4.508943157,6.535457027,5.145966505
5.292787871,5.567953331,6.053267008
6.054352415,4.13491653,5.465566812
5.323626942,6.50263301,5.178032349
4.518132596,5.033919709,7.50523346
4.945702572,4.798977543,7.533619377
4.570309447,3.139688692,4.336016237
4.986098051,5.299576059,6.871872641
5.204259663,5.564774857,5.475436646
4.334939176,6.586438507,5.220223448
6.00428446,6.132571743,5.357003038
3.794438315,5.421369379,6.953848552
5.531314122,8.80464376,6.870711546
4.618760201,6.461359612,6.381437573
6.333505667,5.068726399,7.05182428
5.750676894,6.923507925,7.27767396
4.76583353,5.004016986,6.304236168
4.401895959,6.264266896,6.319564085
3.979887727,7.452994734,5.123811572
5.423628034,5.808407142,7.683763658
6.89513443,4.2135547,5.820575402
5.325887729,6.707739519,6.512699762
4.071972431,5.931588272,4.265945409
6.082680083,4.61772203,7.589185925
4.841737586,6.90148016,5.049969817
7.970323022,7.758195712,5.798343422
5.520391304,4.981190595,5.827481192
6.030044673,5.049943749,6.739080644
4.757679498,6.087091737,5.13026488
4.784408059,4.441184946,7.832530463
5.426892142,5.225222943,5.389879046
0,6.463278138,4.896183302
5.507833022,5.75431447,5.553633936
5.547853298,4.15073186,6.549860028
5.068502698,5.723391875,5.915568022
6.729605538,5.449032724,6.058455395
5.651549195,6.597543813,5.219533911
6.228728523,6.033723284,6.325044592
