id	label	x	y
sample1	Mp2p6p	1388	83
sample1	Mn2p6p	1241	79
sample1	Mn2p6p	1228	83
sample1	Mn2p6p	1266	81
sample1	Mn2p6p	1548	86
sample1	Mn2p6p	1285	96
sample1	Mn2p6p	1129	96
sample1	Mp2p6p	1380	94
sample1	Mn2p6p	1557	100
sample1	Mn2p6n	1362	96
sample1	Mn2p6n	1451	98
sample1	Mn2p6n	1668	101
sample1	Mn2p6p	1113	103
sample1	Mn2p6n	1654	103
sample1	Mp2p6n	1420	105
sample1	CD20ng	1637	104
sample1	Mn2p6p	1461	103
sample1	Mp2p6p	1436	110
sample1	Mp2p6p	1775	114
sample1	Mn2p6p	1285	109
sample1	Mn2p6p	1237	119
sample1	Mn2p6p	1125	116
sample1	Mn2n6n	1270	112
sample1	CD20ng	1250	117
sample1	Mp2p6n	1534	117
sample1	CD20ng	1088	122
sample1	Mn2p6p	1497	118
sample1	Mn2p6n	1555	121
sample1	Mn2p6n	1713	120
sample1	Mp2p6p	1144	131
sample1	CD20ng	1112	132
sample1	CD20ng	1129	136
sample1	Mp2p6p	1196	131
sample1	CD20ng	1539	139
sample1	Mn2p6n	1761	140
sample1	Mp2p6p	1840	140
sample1	CD20ng	1508	139
sample1	Mn2p6p	1321	146
sample1	Mn2p6p	1257	147
sample1	Mn2n6n	1699	146
sample1	Mp2p6p	1628	150
sample1	Mp2p6p	1811	159
sample1	Mn2p6p	1755	150
sample1	Mn2p6p	1647	154
sample1	CD20ng	944	156
sample1	Mn2p6n	1325	161
sample1	Mn2p6n	1482	156
sample1	Mn2p6p	1509	159
sample1	Mp2p6p	1741	156
sample1	CD20ng	1037	158
sample1	Mp2p6p	1495	159
sample1	Mn2p6p	1709	164
sample1	Mn2p6p	1797	169
sample1	Mp2p6p	1418	168
sample1	Mn2p6p	1281	168
sample1	Mn2p6p	1606	166
sample1	Mn2p6n	1489	169
sample1	CD20ng	1098	170
sample1	Mp2p6p	1000	171
sample1	Mn2p6p	1532	173
sample1	Mp2p6p	929	177
sample1	Mn2p6p	1619	175
sample1	Mn2p6n	1897	175
sample1	Mn2n6n	1200	181
sample1	Mn2p6p	1579	187
sample1	CD20ng	1480	174
sample1	Mn2p6p	1722	176
sample1	Mp2p6p	1665	175
sample1	CD20ng	1914	179
sample1	Mn2p6p	1745	184
sample1	Mn2p6n	1880	181
sample1	Mn2p6p	1755	183
sample1	Mn2p6p	1039	184
sample1	Mn2p6p	1521	183
sample1	CD20ng	1177	181
sample1	Mp2p6p	987	184
sample1	Mp2p6n	1298	195
sample1	Mp2p6p	931	189
sample1	CD20ng	1107	195
sample1	Mn2p6p	1539	192
sample1	Mp2p6p	1735	195
sample1	Mn2p6n	1135	194
sample1	Mp2p6n	1308	198
sample1	Mn2p6n	1411	197
sample1	Mn2p6n	1502	196
sample1	Mn2p6p	1356	200
sample1	CD20ng	1522	201
sample1	Mp2p6p	1636	201
sample1	Mp2p6p	860	205
sample1	Mp2p6p	1028	207
sample1	Mn2p6p	1415	207
sample1	CD20ng	1128	208
sample1	Mn2p6n	1263	207
sample1	Mn2p6p	1434	208
sample1	Mn2p6n	1628	213
sample1	Mp2p6p	1906	212
sample1	CD20ng	1008	214
sample1	Mn2p6p	1428	210
sample1	CD20ng	1796	221
sample1	Mn2p6p	1407	215
sample1	CD20ng	1452	215
sample1	Mn2p6p	1149	220
sample1	Mp2p6p	994	225
sample1	Mp2p6p	1548	224
sample1	Mp2p6p	1514	228
sample1	Mn2p6p	1621	227
sample1	Mn2n6p	1675	227
sample1	Mp2p6p	1097	228
sample1	CD20ng	1466	230
sample1	CD20ng	1252	233
sample1	Mp2p6n	1158	234
sample1	Mn2p6n	824	234
sample1	CD20ng	1838	237
sample1	Mn2p6p	1504	241
sample1	Mn2p6p	1642	239
sample1	Mn2p6n	1532	239
sample1	Mp2p6p	1709	238
sample1	Mn2p6n	1551	241
sample1	Mp2p6n	1302	247
sample1	CD20ng	1810	242
sample1	CD20ng	1977	244
sample1	CD20ng	1151	243
sample1	Mp2p6p	940	248
sample1	CD20ng	1453	246
sample1	Mp2p6n	1696	249
sample1	Mn2p6p	929	251
sample1	CD20ng	1800	253
sample1	Mn2p6p	2052	258
sample1	Mn2p6n	1668	257
sample1	Mn2p6p	1284	269
sample1	Mn2p6n	1160	263
sample1	CD20ng	1242	264
sample1	Mn2p6n	1615	264
sample1	Mn2p6p	931	262
sample1	Mn2p6n	1425	265
sample1	Mn2p6n	1603	263
sample1	Mn2p6p	1853	266
sample1	CD20ng	1889	265
sample1	Mn2p6p	763	266
sample1	CD20ng	1998	269
sample1	Mp2p6p	1561	268
sample1	Mp2p6n	1680	269
sample1	Mn2p6p	1091	271
sample1	Mn2p6p	1074	272
sample1	Mp2p6p	1661	273
sample1	Mn2p6n	2103	274
sample1	CD20ng	1758	273
sample1	Mn2p6n	1608	278
sample1	Mp2p6p	965	279
sample1	CD20ng	935	284
sample1	Mn2p6n	1772	286
sample1	CD20ng	2026	285
sample1	Mp2p6p	838	285
sample1	CD20ng	1314	288
sample1	Mn2n6p	1484	285
sample1	Mn2p6p	1905	285
sample1	Mn2p6p	1508	288
sample1	Mp2p6p	978	293
sample1	Mp2p6p	990	296
sample1	Mn2p6p	1043	299
sample1	Mp2p6p	808	301
sample1	CD20ng	1995	303
sample1	Mn2p6n	1442	302
sample1	Mp2p6p	849	307
sample1	Mn2p6n	1954	313
sample1	Mp2p6p	1599	309
sample1	Mp2p6p	1866	312
sample1	CD20ng	864	312
sample1	CD20ng	1708	318
sample1	Mn2p6p	1513	315
sample1	Mn2p6n	1419	317
sample1	Mp2p6p	1581	319
sample1	Mn2p6n	1997	318
sample1	Mn2p6p	2093	323
sample1	Mn2n6n	1307	324
sample1	Mn2p6p	1269	325
sample1	Mn2n6p	1920	329
sample1	Mp2p6p	1545	332
sample1	Mp2p6p	1949	331
sample1	Mn2n6n	1996	335
sample1	CD20ng	997	332
sample1	Mn2p6n	1611	334
sample1	Mp2p6p	1985	335
sample1	CD20ng	728	341
sample1	Mn2p6n	1745	336
sample1	Mn2p6n	1671	338
sample1	Mn2p6n	1491	340
sample1	CD20ng	744	341
sample1	Mn2p6p	1562	342
sample1	CD20ng	1021	341
sample1	Mn2p6p	1942	346
sample1	Mn2p6p	1358	343
sample1	Mn2p6n	1522	346
sample1	Mn2p6n	1607	343
sample1	Mn2p6p	1431	348
sample1	Mn2p6p	2146	348
sample1	CD20ng	959	351
sample1	Mn2p6n	1821	351
sample1	Mn2p6n	1954	351
sample1	Mp2p6p	2219	351
sample1	Mn2p6p	2189	354
sample1	Mn2n6n	1912	355
sample1	CD20ng	755	359
sample1	CD20ng	1302	356
sample1	Mn2p6p	1723	355
sample1	CD20ng	2112	357
sample1	Mp2p6p	851	359
sample1	Mn2p6p	1439	359
sample1	Mn2p6p	1503	359
sample1	CD20ng	1228	363
sample1	Mn2p6p	2201	366
sample1	Mp2p6p	1320	370
sample1	Mn2p6n	1741	368
sample1	Mn2p6p	966	372
sample1	Mn2p6p	1247	373
sample1	Mn2p6n	1727	371
sample1	Mn2p6p	1435	373
sample1	Mp2p6p	937	378
sample1	Mp2p6p	1924	375
sample1	Mn2p6p	975	378
sample1	Mn2p6n	2184	377
sample1	Mp2p6p	990	378
sample1	Mp2p6p	655	384
sample1	Mn2p6n	1406	380
sample1	Mp2p6n	2159	383
sample1	Mn2p6p	2210	385
sample1	Mn2p6p	2061	383
sample1	Mp2p6p	753	385
sample1	CD20ng	1293	385
sample1	Mn2p6p	1850	388
sample1	Mn2p6p	1571	389
sample1	CD20ng	2195	388
sample1	Mn2p6p	1355	389
sample1	Mn2p6p	2168	389
sample1	CD20ng	1111	390
sample1	Mp2p6n	1865	392
sample1	Mn2p6n	1601	391
sample1	Mp2p6p	2127	394
sample1	CD20ng	1143	396
sample1	Mn2p6p	1465	397
sample1	Mn2p6p	1670	397
sample1	Mn2p6p	2073	398
sample1	Mn2p6n	2183	397
sample1	CD20ng	716	398
sample1	Mn2p6n	1952	396
sample1	Mp2p6p	687	398
sample1	Mn2p6n	752	395
sample1	Mn2p6p	1482	398
sample1	Mn2n6p	1320	402
sample1	Mn2p6p	1921	400
sample1	Mp2p6p	1103	406
sample1	CD20ng	2098	400
sample1	Mn2p6p	2137	406
sample1	Mp2p6p	606	407
sample1	CD20ng	1088	410
sample1	Mn2p6n	1761	408
sample1	Mp2p6p	2159	409
sample1	Mn2p6n	1457	410
sample1	Mn2p6n	1519	410
sample1	CD20ng	1622	408
sample1	Mn2p6n	1868	409
sample1	CD20ng	1775	412
sample1	Mn2p6p	2013	410
sample1	Mn2p6p	2049	416
sample1	Mn2p6p	1394	412
sample1	Mn2p6p	1507	415
sample1	Mp2p6p	806	414
sample1	Mn2p6n	1689	414
sample1	Mp2p6p	1328	417
sample1	Mn2p6p	597	418
sample1	Mp2p6p	2025	417
sample1	CD20ng	1805	422
sample1	CD20ng	2192	418
sample1	Mp2p6n	1339	422
sample1	CD20ng	887	424
sample1	Mp2p6p	1452	430
sample1	Mp2p6p	1383	425
sample1	CD20ng	1855	426
sample1	Mp2p6p	2029	428
sample1	Mn2p6p	862	431
sample1	Mp2p6p	2000	426
sample1	Mn2p6p	1016	428
sample1	Mp2p6n	2154	427
sample1	Mn2p6p	2244	432
sample1	Mp2p6p	1029	433
sample1	Mp2p6n	1718	430
sample1	CD20ng	1870	433
sample1	Mn2p6p	1393	435
sample1	Mn2p6n	1989	432
sample1	Mn2p6p	1758	435
sample1	CD20ng	1245	435
sample1	Mp2p6p	1411	435
sample1	Mn2p6n	1357	440
sample1	CD20ng	1113	439
sample1	Mn2p6p	1902	438
sample1	Mp2p6n	1440	442
sample1	CD20ng	652	449
sample1	Mn2n6n	1402	445
sample1	Mn2p6n	1306	448
sample1	Mp2p6p	1341	450
sample1	Mn2p6p	984	447
sample1	Mn2n6p	1959	450
sample1	CD20ng	2040	447
sample1	CD20ng	2286	449
sample1	Mn2p6p	2059	453
sample1	Mn2n6p	1327	452
sample1	Mn2p6p	2010	455
sample1	Mp2p6n	1918	458
sample1	Mp2p6p	1163	461
sample1	CD20ng	2102	458
sample1	Mp2p6n	1655	461
sample1	Mn2n6n	1852	469
sample1	Mn2p6n	1451	464
sample1	CD20ng	945	470
sample1	Mp2p6p	2076	470
sample1	Mn2p6n	1665	472
sample1	Mn2p6n	1622	475
sample1	Mn2p6n	1461	475
sample1	Mn2p6p	1783	478
sample1	Mp2p6p	1909	476
sample1	Mp2p6n	1192	476
sample1	Mn2p6n	1491	476
sample1	Mp2p6p	1933	480
sample1	CD20ng	2230	480
sample1	Mn2p6p	1901	479
sample1	Mp2p6n	1407	477
sample1	Mn2p6n	1536	481
sample1	Mp2p6p	1175	480
sample1	Mp2p6p	811	482
sample1	Mn2p6p	1441	484
sample1	Mn2p6p	1948	482
sample1	Mn2p6n	1711	484
sample1	Mn2p6n	1213	482
sample1	Mp2p6p	864	486
sample1	Mn2p6n	2028	490
sample1	Mn2p6n	2289	488
sample1	Mp2p6p	1626	491
sample1	CD20ng	2153	489
sample1	CD20ng	1847	491
sample1	CD20ng	2096	493
sample1	CD20ng	2308	493
sample1	Mn2p6p	1561	492
sample1	Mp2p6p	1728	493
sample1	CD20ng	878	496
sample1	Mn2p6p	1958	494
sample1	Mp2p6p	657	497
sample1	Mn2p6n	782	505
sample1	CD20ng	1568	507
sample1	Mp2p6p	2021	504
sample1	Mn2p6p	1731	505
sample1	Mn2p6p	2343	507
sample1	Mn2p6p	1755	511
sample1	Mn2p6p	1961	507
sample1	CD20ng	1705	509
sample1	Mn2p6p	2071	508
sample1	CD20ng	824	512
sample1	CD20ng	2047	521
sample1	Mn2p6p	2237	513
sample1	CD20ng	1094	512
sample1	Mn2p6p	1481	522
sample1	CD20ng	624	514
sample1	Mn2p6p	2158	514
sample1	Mn2p6n	1740	515
sample1	Mn2p6p	928	522
sample1	Mp2p6p	939	518
sample1	Mp2p6p	1185	518
sample1	CD20ng	1172	522
sample1	Mn2p6p	1960	524
sample1	Mn2n6p	1841	528
sample1	Mn2p6p	807	526
sample1	Mp2p6p	2224	528
sample1	Mn2p6p	904	530
sample1	Mp2p6p	2067	526
sample1	Mp2p6p	1592	534
sample1	Mn2p6p	1938	531
sample1	Mn2p6p	1995	530
sample1	Mn2p6p	2180	531
sample1	Mp2p6n	2219	532
sample1	CD20ng	2021	540
sample1	CD20ng	674	536
sample1	CD20ng	1358	542
sample1	Mn2p6n	1881	538
sample1	Mp2p6p	1661	540
sample1	Mn2p6p	2078	539
sample1	CD20ng	2288	539
sample1	Mn2p6p	912	541
sample1	Mn2p6n	1617	541
sample1	Mp2p6p	619	540
sample1	Mn2p6p	932	542
sample1	Mn2p6n	1844	541
sample1	Mn2p6p	1059	545
sample1	Mp2p6p	1971	543
sample1	Mn2p6p	2360	547
sample1	Mp2p6p	1205	545
sample1	CD20ng	1343	545
sample1	CD20ng	1227	551
sample1	Mp2p6p	1438	550
sample1	Mn2p6p	1492	549
sample1	CD20ng	1001	551
sample1	CD20ng	2126	553
sample1	Mn2n6p	1964	552
sample1	Mn2p6n	1791	554
sample1	Mn2n6p	1268	556
sample1	CD20ng	2037	560
sample1	Mn2p6p	1976	562
sample1	Mn2p6n	926	555
sample1	CD20ng	1068	560
sample1	Mn2p6n	1848	558
sample1	CD20ng	2243	561
sample1	Mp2p6p	877	560
sample1	CD20ng	1995	560
sample1	CD20ng	839	562
sample1	Mn2p6p	2357	562
sample1	Mn2p6p	907	562
sample1	Mn2p6p	637	564
sample1	Mn2n6n	726	565
sample1	Mn2n6n	1542	571
sample1	CD20ng	1014	569
sample1	Mn2p6n	1399	571
sample1	Mp2p6p	1557	572
sample1	Mp2p6p	1577	568
sample1	CD20ng	2374	572
sample1	Mn2p6n	1651	569
sample1	CD20ng	2141	571
